date,title,translated_title,file,link
22.06.2021,Katar Ekonomi Forumu’nda Yaptıkları Konuşma,Speech at the Qatar Economic Forum,PresSpeech194.txt,https://www.tccb.gov.tr/konusmalar/353/128459/katar-ekonomi-forumu-nda-yaptiklari-konusma
21.06.2021,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech195.txt,https://www.tccb.gov.tr/konusmalar/353/128437/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
19.06.2021,NG Phaselis Bay Oteli Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Opening Ceremony of NG Phaselis Bay Hotel,PresSpeech196.txt,https://www.tccb.gov.tr/konusmalar/353/128428/ng-phaselis-bay-oteli-acilis-toreni-nde-yaptiklari-konusma
18.06.2021,Antalya Diplomasi Forumu’nda Yaptıkları Konuşma,Speech at the Antalya Diplomacy Forum,PresSpeech197.txt,https://www.tccb.gov.tr/konusmalar/353/128427/antalya-diplomasi-forumu-nda-yaptiklari-konusma
17.06.2021,Güneydoğu Avrupa İşbirliği Zirvesi Sonrası Basın Toplantısında Yaptıkları Konuşma,Speech at the Post-South Europe Cooperation Summit Press Conference,PresSpeech198.txt,https://www.tccb.gov.tr/konusmalar/353/128381/guneydogu-avrupa-isbirligi-zirvesi-sonrasi-basin-toplantisinda-yaptiklari-konusma
17.06.2021,Güneydoğu Avrupa İşbirliği Zirvesi’nde Yaptıkları Konuşma,Speech at the Southeast European Cooperation Summit,PresSpeech199.txt,https://www.tccb.gov.tr/konusmalar/353/128379/guneydogu-avrupa-isbirligi-zirvesi-nde-yaptiklari-konusma
16.06.2021,Azerbaycan Millî Meclisi’nde Yaptıkları Konuşma,Speech in the Azerbaijan National Assembly,PresSpeech200.txt,https://www.tccb.gov.tr/konusmalar/353/128350/azerbaycan-mill-meclisi-nde-yaptiklari-konusma
14.06.2021,NATO Zirvesi Brüksel Forumu’nda Yaptıkları Konuşma,Speech at the NATO Summit Brussels Forum,PresSpeech201.txt,https://www.tccb.gov.tr/konusmalar/353/128325/nato-zirvesi-bruksel-forumu-nda-yaptiklari-konusma
11.06.2021,Kilis Yukarı Afrin Barajı ve İçme Suyu İsale Hattı Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Opening Ceremony of Kilis Upper Afrin Dam and Drinking Water Pipeline,PresSpeech202.txt,https://www.tccb.gov.tr/konusmalar/353/128251/kilis-yukari-afrin-baraji-ve-icme-suyu-isale-hatti-acilis-toreni-nde-yaptiklari-konusma
10.06.2021,Cengiz Aytmatov Uluslararası 4. Issık-Göl Forumu’nda Yaptıkları Konuşma,Speech by Chingiz Aitmatov at the 4th International Issyk-Gol Forum,PresSpeech203.txt,https://www.tccb.gov.tr/konusmalar/353/128231/cengiz-aytmatov-uluslararasi-4-issik-gol-forumu-nda-yaptiklari-konusma
05.06.2021,5 Haziran Dünya Çevre Günü Toplu Açılış Töreni’nde Yaptıkları Konuşma,"Speech at the Opening Ceremony of June 5, World Environment Day",PresSpeech204.txt,https://www.tccb.gov.tr/konusmalar/353/128190/5-haziran-dunya-cevre-gunu-toplu-acilis-toreni-nde-yaptiklari-konusma
04.06.2021,Denizkurdu Tatbikatı’na Canlı Bağlantı ile Yaptıkları Konuşma,Their Speech to the Sea Wolf Exercise Live Link,PresSpeech205.txt,https://www.tccb.gov.tr/konusmalar/353/128147/denizkurdu-tatbikati-na-canli-baglanti-ile-yaptiklari-konusma
04.06.2021,Uzun Mehmet Camii Açılış Program’ında Yaptıkları Konuşma,Speech at the Opening Program of Uzun Mehmet Mosque,PresSpeech206.txt,https://www.tccb.gov.tr/konusmalar/353/128145/uzun-mehmet-camii-acilis-program-inda-yaptiklari-konusma
04.06.2021,Filyos Limanı Açılışı ve Doğalgaz İşleme Tesisleri Temel Atma Töreni’nde Yaptıkları Konuşma,Speech at the Filyos Port Opening and Groundbreaking Ceremony for Natural Gas Processing Facilities,PresSpeech207.txt,https://www.tccb.gov.tr/konusmalar/353/128189/filyos-limani-acilisi-ve-dogalgaz-isleme-tesisleri-temel-atma-toreni-nde-yaptiklari-konusma
04.06.2021,MFA Kocayusuf Maske Fabrikası Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Opening Ceremony of MFA Kocayusuf Mask Factory,PresSpeech208.txt,https://www.tccb.gov.tr/konusmalar/353/128188/mfa-kocayusuf-maske-fabrikasi-acilis-toreni-nde-yaptiklari-konusma
31.05.2021,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech209.txt,https://www.tccb.gov.tr/konusmalar/353/128082/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
29.05.2021,Çamlıca Kulesi’nin Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Opening Ceremony of Çamlıca Tower,PresSpeech210.txt,https://www.tccb.gov.tr/konusmalar/353/128054/camlica-kulesi-nin-acilis-toreni-nde-yaptiklari-konusma
28.05.2021,Taksim Cami Açılış Töreni’nde Yaptıkları Konuşma,Speech Delivered at the Opening Ceremony of Taksim Mosque,PresSpeech211.txt,https://www.tccb.gov.tr/konusmalar/353/128051/taksim-cami-acilis-toreni-nde-yaptiklari-konusma
26.05.2021,ABD Merkezli Şirketlerin Üst Düzey Yöneticileri ile Toplantıda Yaptıkları Konuşma,Speech at the Meeting with Senior Executives of US-based Companies,PresSpeech212.txt,https://www.tccb.gov.tr/konusmalar/353/128018/abd-merkezli-sirketlerin-ust-duzey-yoneticileri-ile-toplantida-yaptiklari-konusma
25.05.2021,1. Uluslararası Medya ve İslamofobi Sempozyumu’nda Yaptıkları Konuşma,Speech at the 1st International Symposium on Media and Islamophobia,PresSpeech213.txt,https://www.tccb.gov.tr/konusmalar/353/128006/1-uluslararasi-medya-ve-islamofobi-sempozyumu-nda-yaptiklari-konusma
22.05.2021,KKTC Sulamaları İletim Tüneli Işık Görünme Töreni’nde Yaptıkları Konuşma,Speech at the TRNC Irrigation Transmission Tunnel Light Appearance Ceremony,PresSpeech214.txt,https://www.tccb.gov.tr/konusmalar/353/127976/kktc-sulamalari-iletim-tuneli-isik-gorunme-toreni-nde-yaptiklari-konusma
21.05.2021, Kuzey Marmara Otoyolu Habipler Kavşağı ve Hasdal Kavşağı Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Opening Ceremony of Northern Marmara Highway Habipler Junction and Hasdal Junction,PresSpeech215.txt,https://www.tccb.gov.tr/konusmalar/353/127951/-kuzey-marmara-otoyolu-habipler-kavsagi-ve-hasdal-kavsagi-acilis-toreni-nde-yaptiklari-konusma
21.05.2021,Küresel Sağlık Zirvesi’nde Yaptıkları Konuşma,Speech at the Global Health Summit,PresSpeech216.txt,https://www.tccb.gov.tr/konusmalar/353/127975/kuresel-saglik-zirvesi-nde-yaptiklari-konusma
19.05.2021,"19 Mayıs Atatürk'ü Anma, Gençlik ve Spor Bayramı Münasebetiyle Temsilci Genç Buluşması ve TRT Spor Yıldız Tanıtım Programında Yaptıkları Konuşma","On the occasion of 19 May Commemoration of Atatürk, Youth and Sports Day, Representative Youth Meeting and Speech at TRT Sports Star Promotion Program",PresSpeech217.txt,https://www.tccb.gov.tr/konusmalar/353/127939/19-mayis-ataturk-u-anma-genclik-ve-spor-bayrami-munasebetiyle-temsilci-genc-bulusmasi-ve-trt-spor-yildiz-tanitim-programinda-yaptiklari-konusma
18.05.2021,Kütüphane Söyleşileri’nde Gençlerle Buluşma,Meeting Young People at Library Talks,PresSpeech218.txt,https://www.tccb.gov.tr/konusmalar/353/127977/kutuphane-soylesileri-nde-genclerle-bulusma
17.05.2021,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech219.txt,https://www.tccb.gov.tr/konusmalar/353/127915/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
29.04.2021,Enerjetik Malzemeler Üretim Tesisi Açılış Töreni ve Ürün Lansmanında Yaptıkları Konuşm,Speech at the Opening Ceremony and Product Launch of the Energetic Materials Production Facility,PresSpeech220.txt,https://www.tccb.gov.tr/konusmalar/353/127754/enerjetik-malzemeler-uretim-tesisi-acilis-toreni-ve-urun-lansmaninda-yaptiklari-konusm
26.04.2021,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech221.txt,https://www.tccb.gov.tr/konusmalar/353/127733/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
23.04.2021,Çamlıca Tepesi’ne Bayrak Çekme Töreni’nde Yaptıkları Konuşma,Speech at the Flag Raising Ceremony on Çamlıca Hill,PresSpeech222.txt,https://www.tccb.gov.tr/konusmalar/353/127683/camlica-tepesi-ne-bayrak-cekme-toreni-nde-yaptiklari-konusma
22.04.2021,İklim Liderler Zirvesi'nde Yaptıkları Konuşma,Speech at the Climate Leaders' Summit,PresSpeech223.txt,https://www.tccb.gov.tr/konusmalar/353/127662/iklim-liderler-zirvesi-nde-yaptiklari-konusma
21.04.2021,Türkiye-Arnavutluk Fier Dostluk Hastanesi Açılış Programı’nda Yaptığı Konuşma,Speech at the Opening Program of Turkey-Albania Fier Friendship Hospital,PresSpeech224.txt,https://www.tccb.gov.tr/konusmalar/353/127651/turkiye-arnavutluk-fier-dostluk-hastanesi-acilis-programi-nda-yaptigi-konusma
17.04.2021,Hasankeyf-2 Köprüsü Açılış Töreni’nde Yaptıkları Konuşma ,Speech at the Hasankeyf-2 Bridge Opening Ceremony,PresSpeech225.txt,https://www.tccb.gov.tr/konusmalar/353/127624/hasankeyf-2-koprusu-acilis-toreni-nde-yaptiklari-konusma-
13.04.2021,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma ,Speech After the Cabinet Meeting,PresSpeech226.txt,https://www.tccb.gov.tr/konusmalar/353/126588/kabine-toplantisi-nin-ardindan-yaptiklari-konusma-
09.04.2021,Beykoz Cam Ve Billur Müzesi Açılış Töreni’nde Yaptıkları Konuşma ,Speech at the Opening Ceremony of Beykoz Glass and Crystal Museum,PresSpeech227.txt,https://www.tccb.gov.tr/konusmalar/353/126533/beykoz-cam-ve-billur-muzesi-acilis-toreni-nde-yaptiklari-konusma-
08.04.2021,D-8 Teşkilatı 10. Zirve Toplantısı’nda Yaptıkları Konuşma,Speech at the 10th Summit Meeting of the D-8 Organization,PresSpeech228.txt,https://www.tccb.gov.tr/konusmalar/353/126505/d-8-teskilati-10-zirve-toplantisi-nda-yaptiklari-konusma
05.04.2021,Değerlendirme Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Evaluation Meeting,PresSpeech229.txt,https://www.tccb.gov.tr/konusmalar/353/126469/degerlendirme-toplantisi-nin-ardindan-yaptiklari-konusma
31.03.2021,Türk Konseyi Zirvesi’nde Yaptıkları Konuşma,Speech at the Turkic Council Summit,PresSpeech230.txt,https://www.tccb.gov.tr/konusmalar/353/126451/turk-konseyi-zirvesi-nde-yaptiklari-konusma
30.03.2021,Kovid-19 Sonrasında Kalkınmanın Finansmanı Toplantısı’nda Yaptıkları Konuşma,Speech at the Meeting on Financing for Development After Covid-19,PresSpeech231.txt,https://www.tccb.gov.tr/konusmalar/353/126416/kovid-19-sonrasinda-kalkinmanin-finansmani-toplantisi-nda-yaptiklari-konusma
29.03.2021,1. Su Şûrası ve 363 Tesisin Toplu Açılış Töreni’nde Yaptıkları Konuşma ,Speech at the 1st Water Council and the Collective Opening Ceremony of 363 Facilities,PresSpeech232.txt,https://www.tccb.gov.tr/konusmalar/353/126414/1-su-s-rasi-ve-363-tesisin-toplu-acilis-toreni-nde-yaptiklari-konusma-
29.03.2021,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech233.txt,https://www.tccb.gov.tr/konusmalar/353/126410/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
18.03.2021,Devlet Övünç Madalyası Tevcih Töreni’nde Yaptıkları Konuşma,Speech at the State Medal of Honor Conversion Ceremony,PresSpeech234.txt,https://www.tccb.gov.tr/konusmalar/353/125323/devlet-ovunc-madalyasi-tevcih-toreni-nde-yaptiklari-konusma
16.03.2021,Ford Otosan Gelecek Vizyonu Toplantısı’nda Yaptıkları Konuşma,Speech at Ford Otosan Future Vision Meeting,PresSpeech235.txt,https://www.tccb.gov.tr/konusmalar/353/125287/ford-otosan-gelecek-vizyonu-toplantisi-nda-yaptiklari-konusma
15.03.2021,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma ,Speech After the Cabinet Meeting,PresSpeech236.txt,https://www.tccb.gov.tr/konusmalar/353/125269/kabine-toplantisi-nin-ardindan-yaptiklari-konusma-
12.03.2021,Ekonomi Reformları Tanıtım Toplantısı’nda Yaptıkları Konuşma,Speech at the Economic Reforms Promotion Meeting,PresSpeech237.txt,https://www.tccb.gov.tr/konusmalar/353/125242/ekonomi-reformlari-tanitim-toplantisi-nda-yaptiklari-konusma
10.03.2021,Akkuyu Nükleer Güç Santrali’nin Üçüncü Ünitesi’nin Temel Atma Töreni’nde Yaptığı Konuşma,Speech at the Groundbreaking Ceremony of the Third Unit of Akkuyu Nuclear Power Plant,PresSpeech238.txt,https://www.tccb.gov.tr/konusmalar/353/125207/akkuyu-nukleer-guc-santrali-nin-ucuncu-unitesi-nin-temel-atma-toreni-nde-yaptigi-konusma
10.03.2021,100. Yılında İstiklal Marşı Sergisi Açılış Töreni’nde Yaptıkları Konuşma,Speech Delivered at the Opening Ceremony of the 100th Anniversary of the National Anthem Exhibition,PresSpeech239.txt,https://www.tccb.gov.tr/konusmalar/353/125206/100-yilinda-istiklal-marsi-sergisi-acilis-toreni-nde-yaptiklari-konusma
06.03.2021,Mavi Vatan 2021 Taktik Tatbikatı İçin Düzenlenen Tören’de Yaptıkları Konuşma,Speech at the Ceremony for the Blue Homeland 2021 Tactical Exercise,PresSpeech240.txt,https://www.tccb.gov.tr/konusmalar/353/125144/mavi-vatan-2021-taktik-tatbikati-icin-duzenlenen-toren-de-yaptiklari-konusma
04.03.2021,Ekonomik İşbirliği Teşkilatı 14’üncü Zirvesi Açış Töreni’nde Yaptıkları Konuşma,Speech at the Opening Ceremony of the 14th Summit of the Organization of Economic Cooperation,PresSpeech241.txt,https://www.tccb.gov.tr/konusmalar/353/125129/ekonomik-isbirligi-teskilati-14-uncu-zirvesi-acis-toreni-nde-yaptiklari-konusma
02.03.2021,İnsan Hakları Eylem Planı Tanıtım Toplantısı’nda Yaptıkları Konuşma,Speech Delivered at the Human Rights Action Plan Promotion Meeting,PresSpeech242.txt,https://www.tccb.gov.tr/konusmalar/353/125097/insan-haklari-eylem-plani-tanitim-toplantisi-nda-yaptiklari-konusma
01.03.2021,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma ,Speech After the Cabinet Meeting,PresSpeech243.txt,https://www.tccb.gov.tr/konusmalar/353/125093/kabine-toplantisi-nin-ardindan-yaptiklari-konusma-
27.02.2021,Kızılcahamam – Çerkeş Tüneli Açılış Töreni’nde Yaptıkları Konuşma,Kizilcahamam – Speech at the Cerkes Tunnel Opening Ceremony,PresSpeech244.txt,https://www.tccb.gov.tr/konusmalar/353/125077/kizilcahamam-cerkes-tuneli-acilis-toreni-nde-yaptiklari-konusma
26.02.2021,Atlas 1948 - İstanbul Sinema Müzesi Açılış Töreni^nde Yaptıkları Konuşma,Atlas 1948 - Speech at the Opening Ceremony of the Istanbul Cinema Museum,PresSpeech245.txt,https://www.tccb.gov.tr/konusmalar/353/125072/atlas-1948-istanbul-sinema-muzesi-acilis-toreni-nde-yaptiklari-konusma
23.02.2021,Ankara Valiliği Eğitim Tesisleri Toplu Açılış Töreni’nde Yaptıkları Konuşma ,Speech at the Opening Ceremony of Ankara Governorship Education Facilities,PresSpeech246.txt,https://www.tccb.gov.tr/konusmalar/353/125046/ankara-valiligi-egitim-tesisleri-toplu-acilis-toreni-nde-yaptiklari-konusma-
22.02.2021,Dokuz Eylül Üniversitesi Uluslararası Konferansı Göç: Önümüzdeki Yirmi Yılın Projeksiyonu ve Ötesi  Programı’nda Yaptıkları Konuşma,Speech at Dokuz Eylül University International Conference on Migration: Projection of the Next Twenty Years and Beyond,PresSpeech247.txt,https://www.tccb.gov.tr/konusmalar/353/125024/dokuz-eylul-universitesi-uluslararasi-konferansi-goc-onumuzdeki-yirmi-yilin-projeksiyonu-ve-otesi-programi-nda-yaptiklari-konusma
22.02.2021,İzmir Deprem Konutları Temel Atma ve Göztepe Stadı Açılış Töreni’nde Yaptıkları Konuşma ,Speech at the Groundbreaking and Göztepe Stadium Opening Ceremony of İzmir Earthquake Residences,PresSpeech248.txt,https://www.tccb.gov.tr/konusmalar/353/125023/izmir-deprem-konutlari-temel-atma-ve-goztepe-stadi-acilis-toreni-nde-yaptiklari-konusma-
19.02.2021,Adana Stadyumu Açılış Töreni’nde Yaptıkları Konuşma,Speech at Adana Stadium Opening Ceremony,PresSpeech249.txt,https://www.tccb.gov.tr/konusmalar/353/124983/adana-stadyumu-acilis-toreni-nde-yaptiklari-konusma
18.02.2021,Milli Sporcu Bursu Tanıtım Toplantısı’nda Yaptıkları Konuşma,Speech at the National Athlete Scholarship Promotion Meeting,PresSpeech250.txt,https://www.tccb.gov.tr/konusmalar/353/124974/milli-sporcu-bursu-tanitim-toplantisi-nda-yaptiklari-konusma
17.02.2021,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech251.txt,https://www.tccb.gov.tr/konusmalar/353/124956/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
16.02.2021,“Bizim Yunus Yılı” Açılış Töreni’nde Yaptığı Konuşma,Speech at the Opening Ceremony of “Our Year of Yunus”,PresSpeech252.txt,https://www.tccb.gov.tr/konusmalar/353/124929/-bizim-yunus-yili-acilis-toreni-nde-yaptigi-konusma
09.02.2021,Milli Uzay Programı Tanıtım Toplantısı’nda Yaptıkları Konuşma,Speech at the National Space Program Promotion Meeting,PresSpeech253.txt,https://www.tccb.gov.tr/konusmalar/353/124875/milli-uzay-programi-tanitim-toplantisi-nda-yaptiklari-konusma
06.02.2021,Uluslararası Demokratlar Birliği Programı’nda Yaptıkları Konuşma,Speech at the International Union of Democrats Program,PresSpeech254.txt,https://www.tccb.gov.tr/konusmalar/353/124835/uluslararasi-demokratlar-birligi-programi-nda-yaptiklari-konusma
05.02.2021,Tohma Köprüsü Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Tohma Bridge Opening Ceremony,PresSpeech255.txt,https://www.tccb.gov.tr/konusmalar/353/124825/tohma-koprusu-acilis-toreni-nde-yaptiklari-konusma
04.02.2021,YÖK Anadolu Projesi Tanıtım Toplantısı’nda Yaptıkları Konuşma ,Speech at the Higher Education Council Anatolian Project Promotion Meeting,PresSpeech256.txt,https://www.tccb.gov.tr/konusmalar/353/124809/yok-anadolu-projesi-tanitim-toplantisi-nda-yaptiklari-konusma-
02.02.2021,2021-2030 Karayolu Trafik Güvenlik Strateji Belgesi ve Eylem Planı Tanıtım Programında Yaptıkları Konuşma,Speech in the 2021-2030 Highway Traffic Safety Strategy Document and Action Plan Promotion Program,PresSpeech257.txt,https://www.tccb.gov.tr/konusmalar/353/124787/2021-2030-karayolu-trafik-guvenlik-strateji-belgesi-ve-eylem-plani-tanitim-programinda-yaptiklari-konusma
01.02.2021,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech258.txt,https://www.tccb.gov.tr/konusmalar/353/124777/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
28.01.2021,TÜBİTAK ve TÜBA Bilim Ödülleri Töreni’nde Yaptıkları Konuşma,Speech at the TÜBİTAK and TÜBA Science Awards Ceremony,PresSpeech259.txt,https://www.tccb.gov.tr/konusmalar/353/124725/tubitak-ve-tuba-bilim-odulleri-toreni-nde-yaptiklari-konusma
26.01.2021,Sosyal Atama Töreni’nde Yaptıkları Konuşma ,Speech at the Social Appointment Ceremony,PresSpeech260.txt,https://www.tccb.gov.tr/konusmalar/353/124702/sosyal-atama-toreni-nde-yaptiklari-konusma-
25.01.2021,Elazığ Deprem Konutları Anahtar Teslim Töreni’nde Yaptıkları Konuşma,Speech Delivered at the Turnkey Ceremony of Elazig Earthquake Houses,PresSpeech261.txt,https://www.tccb.gov.tr/konusmalar/353/124689/elazig-deprem-konutlari-anahtar-teslim-toreni-nde-yaptiklari-konusma
25.01.2021,İpek Yolu Uluslararası Çocuk ve Gençlik Çalışmaları Merkezi’nin Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Opening Ceremony of Silk Road International Center for Child and Youth Studies,PresSpeech262.txt,https://www.tccb.gov.tr/konusmalar/353/124688/ipek-yolu-uluslararasi-cocuk-ve-genclik-calismalari-merkezi-nin-acilis-toreni-nde-yaptiklari-konusma
25.01.2021,Elazığ’da Halka Hitapları,Public Addresses in Elazig,PresSpeech263.txt,https://www.tccb.gov.tr/konusmalar/353/124686/elazig-da-halka-hitaplari
23.01.2021,İstanbul (F-515) Fırkateyni’nin Denize İniş ve Pakistan MİLGEM Korvet Projesi 3. Gemi İlk Kaynak Töreni’nde Yaptıkları Konuşma,Speech by Istanbul (F-515) Frigate at the Landing and Pakistan MİLGEM Corvette Project 3rd Ship First Welding Ceremony,PresSpeech264.txt,https://www.tccb.gov.tr/konusmalar/353/123660/istanbul-f-515-firkateyni-nin-denize-inis-ve-pakistan-milgem-korvet-projesi-3-gemi-ilk-kaynak-toreni-nde-yaptiklari-konusma
23.01.2021,"Diyarbakır – Silvan Barajı Gövde Dolgu Çalışması Tamamlanması, Ergani Barajı, Başlar Barajı ve Ergani İçme Suyu Arıtma Tesisi Açılış Töreni’nde Yaptıkları Konuşma","Diyarbakir – Silvan Dam Body Filling Work Completion, Ergani Dam, Başlar Dam and Ergani Drinking Water Treatment Plant Opening Ceremony Speech",PresSpeech265.txt,https://www.tccb.gov.tr/konusmalar/353/124673/diyarbakir-silvan-baraji-govde-dolgu-calismasi-tamamlanmasi-ergani-baraji-baslar-baraji-ve-ergani-icme-suyu-aritma-tesisi-acilis-toreni-nde-yaptiklari-konusma
22.01.2021,OECD İstanbul Merkezi’nin Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Opening Ceremony of OECD Istanbul Center,PresSpeech266.txt,https://www.tccb.gov.tr/konusmalar/353/123650/oecd-istanbul-merkezi-nin-acilis-toreni-nde-yaptiklari-konusma
22.01.2021,Türkiye Genç İş Adamları Konfederasyonu (TÜGİK) Genel Başkanı Erkan Güral ve Beraberindeki Heyeti Kabulde Yaptıkları Konuşma,The Confederation of Young Businessmen of Turkey (TÜGİK) Chairman Erkan Güral and his Delegation at the Acceptance Speech,PresSpeech267.txt,https://www.tccb.gov.tr/konusmalar/353/124666/turkiye-genc-is-adamlari-konfederasyonu-tugik-genel-baskani-erkan-gural-ve-beraberindeki-heyeti-kabulde-yaptiklari-konusma
20.01.2021,Kültür ve Turizm Bakanlığı 2019-2020 Özel Ödülleri Töreni’nde Yaptıkları Konuşma ,Speech at the Ministry of Culture and Tourism 2019-2020 Special Awards Ceremony,PresSpeech268.txt,https://www.tccb.gov.tr/konusmalar/353/123632/kultur-ve-turizm-bakanligi-2019-2020-ozel-odulleri-toreni-nde-yaptiklari-konusma-
16.01.2021,Manisa Enerji Ve Tabii Kaynaklar Projeleri Toplu Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Mass Opening Ceremony of Manisa Energy and Natural Resources Projects,PresSpeech269.txt,https://www.tccb.gov.tr/konusmalar/353/123595/manisa-enerji-ve-tabii-kaynaklar-projeleri-toplu-acilis-toreni-nde-yaptiklari-konusma
15.01.2021,DEİK Yönetim Kurulu Üyelerini Kabulünde Yaptıkları Konuşma ,Speech of DEİK Board Members at the Acceptance,PresSpeech270.txt,https://www.tccb.gov.tr/konusmalar/353/123585/deik-yonetim-kurulu-uyelerini-kabulunde-yaptiklari-konusma-
15.01.2021,Milli Saraylar İdaresi Başkanlığı Resim Heykel Müzesi Restorasyon Sonrası Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Post-Restoration Opening Ceremony of the Painting and Sculpture Museum of the National Palaces Administration,PresSpeech271.txt,https://www.tccb.gov.tr/konusmalar/353/123580/milli-saraylar-idaresi-baskanligi-resim-heykel-muzesi-restorasyon-sonrasi-acilis-toreni-nde-yaptiklari-konusma
13.01.2021,Radyo Televizyon Gazetecileri Derneği 2019 Yılı Medya Oscar Ödülleri Töreni’nde Yaptıkları Konuşma,The Speech of the Radio and Television Journalists Association at the 2019 Media Oscar Awards Ceremony,PresSpeech272.txt,https://www.tccb.gov.tr/konusmalar/353/123565/radyo-televizyon-gazetecileri-dernegi-2019-yili-medya-oscar-odulleri-toreni-nde-yaptiklari-konusma
12.01.2021,Avrupa Birliği Ülkeleri Büyükelçileri ile Toplantıda Yaptıkları Konuşma ,Speech Delivered at the Meeting with the Ambassadors of European Union Countries,PresSpeech273.txt,https://www.tccb.gov.tr/konusmalar/353/123549/avrupa-birligi-ulkeleri-buyukelcileri-ile-toplantida-yaptiklari-konusma-
12.01.2021,Ankara Geleneksel Sporlar Tesisi Açılış Töreni’nde Yaptıkları Konuşma ,Speech at the Opening Ceremony of Ankara Traditional Sports Facility,PresSpeech274.txt,https://www.tccb.gov.tr/konusmalar/353/123548/ankara-geleneksel-sporlar-tesisi-acilis-toreni-nde-yaptiklari-konusma-
11.01.2021,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech275.txt,https://www.tccb.gov.tr/konusmalar/353/123534/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
09.01.2021,Diyarbakır-Ergani-Elazığ Yolu Devegeçidi Köprüsü ve Bağlantı Yolları Açılış Töreni’nde Yaptıkları Konuşma,Their Speech at the Opening Ceremony of Diyarbakir-Ergani-Elazig Road Devegeçidi Bridge and Connection Roads,PresSpeech276.txt,https://www.tccb.gov.tr/konusmalar/353/123511/diyarbakir-ergani-elazig-yolu-devegecidi-koprusu-ve-baglanti-yollari-acilis-toreni-nde-yaptiklari-konusma
08.01.2021,Uydu Teknolojileri Haftası Özel Oturumu’nda Yaptıkları Konuşma,Speech at the Satellite Technologies Week Special Session,PresSpeech277.txt,https://www.tccb.gov.tr/konusmalar/353/123499/uydu-teknolojileri-haftasi-ozel-oturumu-nda-yaptiklari-konusma
02.01.2021,Kömürhan Köprüsü ve Tünelleri Açılış Töreni’nde Yaptıkları Konuşma ,Speech at the Kömürhan Bridge and Tunnels Opening Ceremony,PresSpeech278.txt,https://www.tccb.gov.tr/konusmalar/353/123453/komurhan-koprusu-ve-tunelleri-acilis-toreni-nde-yaptiklari-konusma-
30.12.2020,Cumhurbaşkanlığı Kültür ve Sanat Büyük Ödülleri Töreni’nde Yaptıkları Konuşma,Speech at the Presidential Culture and Art Grand Awards Ceremony,PresSpeech279.txt,https://www.tccb.gov.tr/konusmalar/353/123425/cumhurbaskanligi-kultur-ve-sanat-buyuk-odulleri-toreni-nde-yaptiklari-konusma
28.12.2020,Ankara Devlet Resim ve Heykel Müzesi’nin Restorasyonu Sonrası Açılış Töreni’nde Yaptıkları Konuşma ,Speech at the Opening Ceremony of the Ankara State Painting and Sculpture Museum after the Restoration,PresSpeech280.txt,https://www.tccb.gov.tr/konusmalar/353/123405/ankara-devlet-resim-ve-heykel-muzesi-nin-restorasyonu-sonrasi-acilis-toreni-nde-yaptiklari-konusma-
28.12.2020,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech281.txt,https://www.tccb.gov.tr/konusmalar/353/123404/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
